,ID,Expected,Predicted (enc),% Error,Correct?,Time enc (s)
0,,-49.06813806419504,-49.06813747208171,1.2067165255710533e-08,True,12.50459031574428
1,,-37.70729661133869,-37.70729559792512,2.6875794993963953e-08,True,12.492445982992649
2,,-40.47973565454387,-40.479734741242375,2.2561943245449295e-08,True,12.568878939375281
3,,-43.232734289873136,-43.23273347811616,1.8776443119735073e-08,True,12.319526808336377
4,,-50.78582232753362,-50.78582180143155,1.0359231105088078e-08,True,12.25762989372015
5,,-37.20335523919246,-37.203354207976204,2.7718367083950145e-08,True,11.974043244495988
6,,-46.90617091775313,-46.906170243112506,1.4382769069704927e-08,True,12.23936321772635
7,,-45.27738544316803,-45.277384707408096,1.6250053437888668e-08,True,12.134941380470991
8,,-46.54228455040165,-46.542283861810354,1.4794961164501572e-08,True,12.088301235809922
9,,-35.81589907098137,-35.81589798970218,3.018992165834821e-08,True,12.424457730725408
10,,-28.938996326319597,-28.93899500124516,4.578854155866939e-08,True,12.590881062671542
11,,-45.10266876133034,-45.10266801833866,1.64733418449408e-08,True,12.294329138472676
12,,-39.850010199719236,-39.850009263286225,2.349894031245401e-08,True,12.267022656276822
13,,-45.435248060251446,-45.43524732993199,1.607385207839406e-08,True,12.313273964449763
14,,-50.43999322092354,-50.43999268150997,1.0694164201183349e-08,True,12.365589324384928
15,,-52.18276813921385,-52.18276766885427,9.013695466726969e-09,True,12.414971623569727
16,,-51.90065489071736,-51.900654408418276,9.292736036136594e-09,True,11.500021308660507
17,,-24.45671768854858,-24.45671620717683,6.057115960797031e-08,True,12.357084115967155
18,,-42.6356028576676,-42.63560202312405,1.9573865337830284e-08,True,12.632251342758536
19,,-47.44948365202765,-47.4494829980208,1.3783223834475515e-08,True,12.248484322801232
20,,-41.94830461430508,-41.94830375467669,2.0492565820262554e-08,True,12.382389403879642
21,,-48.771072086841926,-48.77107148230884,1.2395320813294059e-08,True,12.489786958321929
22,,-43.205018564178545,-43.2050177508128,1.8825723759983097e-08,True,12.186356527730823
23,,-51.064789000256106,-51.06478848514168,1.0087467946369005e-08,True,12.491384306922555
24,,-44.79855667181475,-44.798555917588665,1.6835946112188262e-08,True,12.086513254791498
25,,-33.847527759338774,-33.847526608016906,3.401494715510239e-08,True,12.256647996604443
26,,-32.54402016487209,-32.54401896604281,3.683715988376567e-08,True,12.11297439970076
27,,-49.74328522437311,-49.743284657788664,1.1390169434111214e-08,True,12.160118851810694
28,,-39.64777694980721,-39.64777600686882,2.3782881785536023e-08,True,12.430929398164153
29,,-45.91958599408336,-45.91958528177053,1.551217889485716e-08,True,12.271555149927735
30,,-49.36237765885707,-49.36237707733339,1.1780706411823697e-08,True,12.269101824611425
31,,-46.06928548219477,-46.06928477506276,1.5349315762873827e-08,True,12.285172061994672
32,,-47.80242497236219,-47.802424332793784,1.3379413402501405e-08,True,12.43365010432899
33,,-19.07892462736001,-19.078922958166494,8.748886787142256e-08,True,12.490812882781029
34,,-49.329393361616454,-49.32939277954745,1.1799638443969055e-08,True,12.684655539691448
35,,-42.04317025289656,-42.0431693968525,2.0361073044142086e-08,True,12.748783642426133
36,,-42.18160949197781,-42.18160864110941,2.0171548843976623e-08,True,12.561166858300567
37,,-45.5532623278102,-45.553261601668495,1.594049843320606e-08,True,12.434465810656548
38,,-50.051213322098675,-50.05121276798928,1.1070848468733283e-08,True,12.352287577465177
39,,-53.25648711083258,-53.25648668355679,8.022981172677904e-09,True,12.657178860157728
40,,-44.46338399326595,-44.4633832275244,1.722184588405474e-08,True,12.366395687684417
41,,-41.843659367904905,-41.843658504835446,2.0626051174620638e-08,True,12.264878660440445
42,,-37.72457831150679,-37.72457729825844,2.685910343738745e-08,True,12.473196621984243
43,,-48.76119751405883,-48.76119690981937,1.2391809287914982e-08,True,12.332865683361888
44,,-44.79415919975972,-44.79415844495239,1.6850574824689816e-08,True,12.20899336785078
45,,-38.48443492078245,-38.48443393475866,2.562136581496734e-08,True,12.448697535321116
46,,-48.2296590211507,-48.22965839642542,1.2953134937365654e-08,True,12.23145467042923
47,,-45.70175348584836,-45.70175276581025,1.5755152794291107e-08,True,12.460618391633034
48,,-39.78075729841231,-39.78075636017328,2.3585248166453335e-08,True,11.517357531934977
49,,-24.824280183210647,-24.824278713015218,5.9224090997186614e-08,True,11.370031863451004
50,,-41.654348409091355,-41.65434753852227,2.0899836750833413e-08,True,12.470240667462349
51,,-46.49363838705364,-46.49363769754733,1.4830121691371588e-08,True,12.456445265561342
52,,-41.12748475318916,-41.127483863332266,2.1636550290210606e-08,True,12.153761707246304
53,,-54.72214077107763,-54.72214040375694,6.7124693875973415e-09,True,12.357030492275953
54,,-51.07119010041257,-51.07118958600357,1.0072391136649646e-08,True,12.469665190204978
55,,-52.15241265410528,-52.152412182498566,9.042855105180341e-09,True,12.414499396458268
56,,-41.99085014183157,-41.99084928379027,2.0434006477316064e-08,True,12.489180438220501
57,,-28.660961079609073,-28.660959743958486,4.660173759540257e-08,True,12.56100109219551
58,,-46.696310678011145,-46.69630999485533,1.46297598485389e-08,True,12.524383928626776
59,,-41.74548085326951,-41.745479986666865,2.0759196677269804e-08,True,12.196746788918972
60,,-48.47334663401261,-48.473346018458685,1.2698812135835638e-08,True,12.614120170474052
61,,-37.05992722283005,-37.05992618505775,2.8002545548847588e-08,True,12.404196025803685
62,,-52.22147125473372,-52.22147078584919,8.978769041917642e-09,True,12.645266762003303
63,,-47.479852108926316,-47.479851456142484,1.3748649233882766e-08,True,12.355538949370384
64,,-43.72518984172571,-43.72518904856049,1.8139777631268407e-08,True,12.583255555480719
65,,-39.05029081146307,-39.05028984599589,2.472368732520159e-08,True,12.262723738327622
66,,-50.79526390444465,-50.79526337874451,1.0349392922495544e-08,True,12.508884906768799
67,,-51.66429537774255,-51.66429488627235,9.512762973002115e-09,True,12.436260411515832
68,,-43.317918634198044,-43.31791782503199,1.8679707584887005e-08,True,12.298306269571185
69,,-49.53156164149955,-49.531561066978064,1.1599098985477584e-08,True,12.265761092305183
70,,-49.322182038641174,-49.322181456184616,1.1809221197785713e-08,True,12.708843745291233
71,,-52.66405704473412,-52.66405659344851,8.569138809724011e-09,True,12.272692270576954
72,,-34.911127247625984,-34.91112613399612,3.189899472398257e-08,True,12.293866824358702
73,,-37.611281892580976,-37.61128087633279,2.7019769950242577e-08,True,12.504897516220808
74,,-48.25937285491092,-48.259372230768115,1.2933089881782822e-08,True,12.445528876036406
75,,-47.231840938389304,-47.23184027638592,1.401604032506576e-08,True,12.138823486864567
76,,-45.48952934320524,-45.48952861449898,1.601920864154822e-08,True,12.438580553978682
