,ID,Expected,Predicted (enc),% Error,Correct?,Time enc (s)
0,,-28.04982540245718,-28.049824045793788,4.8366197426055625e-08,True,12.313898224383593
1,,-32.3470176912345,-32.34701648466227,3.730088010934876e-08,True,12.424349689856172
2,,-31.50597885273478,-31.505977616912368,3.922501246728227e-08,True,12.357189478352666
3,,-43.302010210401775,-43.30200940162223,1.867764435222277e-08,True,12.576554698869586
4,,-31.899654433989657,-31.899653211865505,3.831151693950831e-08,True,12.20725691318512
5,,-31.020361751026016,-31.020360498577293,4.03750521210253e-08,True,12.320863550528884
6,,-40.977655585001195,-40.97765469030819,2.1833679588998044e-08,True,12.330420929938555
7,,-48.59151417456586,-48.59151356330531,1.257957395572143e-08,True,13.004747036844492
8,,-31.487666083681233,-31.487664846499534,3.929099400449725e-08,True,12.163120865821838
9,,-30.904249088979494,-30.904247831928856,4.067565706530239e-08,True,12.490476286038756
10,,-40.90282581180088,-40.90282491386528,2.1952898897120863e-08,True,12.495281487703323
11,,-40.207663625706346,-40.207662701719535,2.29803656143921e-08,True,12.228658700361848
12,,-36.07170212576887,-36.07170105298748,2.9740248759099158e-08,True,12.325014442205429
13,,-9.77641680915464,-9.776414819700573,2.0349521764586628e-07,True,12.489761432632804
14,,-37.12973902361552,-37.129737988217705,2.7885943793647413e-08,True,12.980879774317145
15,,-44.30411771568109,-44.3041169432384,1.74350089606678e-08,True,12.213936550542712
16,,-38.82088931166625,-38.82088833809984,2.507841590437771e-08,True,12.592768628150225
17,,-9.229718992791746,-9.229716986428596,2.1738074061121433e-07,True,12.09580111131072
18,,-26.374848893456544,-26.374847477508602,5.368553760164167e-08,True,12.288325250148773
19,,-50.580318252991034,-50.58031771917474,1.0553834302937065e-08,True,12.075762880966067
20,,-42.63793848095755,-42.637937646758246,1.9564719470692437e-08,True,12.413735747337341
21,,-24.707549602926136,-24.707548128504914,5.967492710747506e-08,True,12.460207711905241
22,,-28.180315375633526,-28.180314022705264,4.800969200778033e-08,True,12.394489917904139
23,,-45.00310633442969,-45.00310558753016,1.659662168912708e-08,True,12.243875175714493
24,,-48.7574338826646,-48.7574332783335,1.239464530466334e-08,True,12.422499403357506
25,,-30.693298831042316,-30.69329756713654,4.117855768584462e-08,True,12.100392429158092
26,,-22.939033060599428,-22.939031523567902,6.700507044019574e-08,True,12.49855139106512
27,,-34.54121052440168,-34.54120939631232,3.265923057381246e-08,True,12.431509107351303
28,,-39.3341749586918,-39.33417400364255,2.4280393475257447e-08,True,11.15333254262805
29,,-34.56279217094134,-34.56279104479722,3.258255625322429e-08,True,12.422158343717456
30,,-25.330215585060316,-25.330214132657087,5.733876302470978e-08,True,11.923711374402046
31,,-43.483818080929055,-43.48381727741022,1.8478571402105415e-08,True,11.448844607919455
32,,-40.62402038080087,-40.62401947232425,2.23630407186293e-08,True,12.223368531093001
33,,-37.71181414331506,-37.71181312881504,2.690138474675982e-08,True,12.514654401689768
34,,-29.048660478311213,-29.048659155789018,4.552782032259863e-08,True,11.313005050644279
35,,-47.42872940151443,-47.42872874579254,1.382541550831742e-08,True,11.408870181068778
36,,-47.44544458555605,-47.44544393118176,1.3792141597191676e-08,True,12.353960132226348
37,,-31.914925127507736,-31.914923906580324,3.8255687820862135e-08,True,11.605951465666294
38,,-25.603433505466988,-25.603432061848125,5.6383799588954326e-08,True,11.488273479044437
39,,-41.29297103597759,-41.29297015213762,2.1404126280421197e-08,True,11.561425145715475
40,,-45.77012981064063,-45.77012909295489,1.568022084910382e-08,True,12.143869619816542
41,,-25.684796988878695,-25.684795548104123,5.609445043587869e-08,True,12.291266741231084
42,,-13.301543475340871,-13.301541607619178,1.4041390732762354e-07,True,12.020353564992547
43,,-33.866078322387494,-33.86607717019462,3.4022034133928e-08,True,12.29721419326961
44,,-43.94793262499016,-43.94793183926822,1.787847323776243e-08,True,12.291718346998096
45,,-42.019734808709174,-42.01973395165936,2.0396364145427196e-08,True,11.39994453638792
46,,-21.174954081906833,-21.174952484454685,7.544064281184912e-08,True,12.260464657098055
47,,-29.51475728156111,-29.51475597589841,4.423762280271619e-08,True,12.021461671218276
48,,-46.15797410475824,-46.15797340170117,1.52315408593812e-08,True,12.109075423330069
49,,-32.565045086096156,-32.565043887772156,3.679786092298986e-08,True,12.222510319203138
50,,-33.74048004107194,-33.740478885260025,3.425594164940072e-08,True,12.166625164449215
51,,-25.806104327441403,-25.80610289091076,5.56663114962514e-08,True,12.299961877986789
52,,-38.61258761573297,-38.61258663451775,2.541179660414025e-08,True,12.570108227431774
53,,-37.12299409456292,-37.122993059934515,2.78702844293331e-08,True,11.491784159094095
54,,-36.975108770537204,-36.97510773003198,2.814069409636993e-08,True,12.63770674355328
55,,-34.72742773037281,-34.72742660976579,3.226864441726936e-08,True,12.129564145579934
56,,-18.175457808184227,-18.175456107371673,9.357742577139146e-08,True,12.586404191330075
57,,-21.418808883393794,-21.418807294993506,7.415913258256434e-08,True,12.781918792054057
58,,-1.1642551349684354,-1.164252856515681,1.957004685686033e-06,True,12.162127247080207
59,,-18.950069458537115,-18.950067783522414,8.83909531217516e-08,True,12.529151713475585
60,,-27.73825917768424,-27.73825780933657,4.933069746194321e-08,True,12.521797340363264
61,,-18.563566363501266,-18.563564677027305,9.084859710398926e-08,True,12.246504908427596
62,,-18.531791990037092,-18.53179030177268,9.110098002033955e-08,True,12.131154233589768
63,,-37.410394816770776,-37.410393792842974,2.7370141540302926e-08,True,12.425223913043737
64,,-46.1468833670273,-46.14688266396258,1.523536737067058e-08,True,12.624589810147882
65,,-38.824836829059976,-38.824835855946674,2.5064195536045262e-08,True,12.238579308614135
66,,-37.44133290807781,-37.44133188527967,2.731735379856338e-08,True,12.49534141458571
67,,-18.75390445126792,-18.753902770665473,8.961346970090465e-08,True,12.667191810905933
68,,-46.85810251122791,-46.85810183445723,1.4442980955104237e-08,True,11.245412392541766
69,,-38.205855161509845,-38.20585416519786,2.607746844134049e-08,True,12.51447108387947
70,,-31.07944457248178,-31.07944332131794,4.025695626761723e-08,True,11.21746857278049
71,,-20.187145216592064,-20.187143585261925,8.081034350894405e-08,True,12.471701230853796
72,,-25.448138506360216,-25.44813705765568,5.692772134603725e-08,True,12.531650125980377
73,,-40.54135171833771,-40.54135080663662,2.248817682536856e-08,True,11.388247147202492
74,,-36.231263941526755,-36.23126287460546,2.944753167786767e-08,True,12.060054667294025
75,,-21.150139390008874,-21.15013779096236,7.560453779960922e-08,True,12.35765121690929
76,,-36.90659209504855,-36.906591052839964,2.8239090328138762e-08,True,12.459313776344061
77,,-40.5965113465202,-40.59651043823679,2.237343508156948e-08,True,12.19339749775827
78,,-22.785927893541732,-22.78592635255151,6.762903094123903e-08,True,12.151217209175229
79,,-31.166275130241676,-31.16627388311781,4.001517217887971e-08,True,12.827487472444773
80,,-41.510672569308866,-41.51067169375271,2.1092314328058334e-08,True,12.498876970261335
81,,-44.3570191777492,-44.357018406697065,1.7382866346979395e-08,True,12.520079758018255
82,,-33.328300960535046,-33.32829978906556,3.514939109437653e-08,True,11.544766280800104
83,,-27.487760438969573,-27.48775906110332,5.01265375158331e-08,True,12.595765536651015
84,,-42.057444326056014,-42.05744347050029,2.034255146812325e-08,True,12.35435051098466
85,,-39.44730260074399,-39.447301650302975,2.4093941799344478e-08,True,12.217381231486797
86,,-26.36424533532422,-26.364243918612125,5.373611408835835e-08,True,12.438215324655175
87,,-22.06231000126158,-22.062308433987038,7.103855131983419e-08,True,12.327195363119245
88,,-41.57398404820563,-41.573983174905216,2.1005935204127458e-08,True,12.386103136464953
89,,-47.20881131425988,-47.208810650321425,1.4063867305832676e-08,True,12.45009970664978
90,,-31.937423515146243,-31.937422295867528,3.817711578227671e-08,True,12.255903294309974
91,,-17.18793397542119,-17.187932240619144,1.0093138865442394e-07,True,12.52730330452323
92,,-39.33532869486136,-39.3353277406132,2.4259315721689574e-08,True,12.322625536471605
93,,-48.144296331402586,-48.144295703281706,1.3046631223551003e-08,True,12.649350637570024
94,,-33.56860324802729,-33.56860208589636,3.461957948597522e-08,True,12.656265882775187
95,,-23.368123479042666,-23.368121957965407,6.509197283979345e-08,True,12.24877311475575
96,,-29.771502557933132,-29.771501260936674,4.35650319010085e-08,True,12.303022241219878
97,,-46.74002778276571,-46.74002710176276,1.457001583027551e-08,True,11.389815744012594
98,,-37.64548630621443,-37.64548528990902,2.699674014346392e-08,True,11.369278261438012
99,,-30.765444407571422,-30.765443146182562,4.100018330043953e-08,True,12.48036683164537
100,,-27.02163655303808,-27.02163515947231,5.157221935599063e-08,True,12.407072251662612
101,,-34.63594813554673,-34.63594701054422,3.248077693651816e-08,True,12.219175916165113
102,,-45.61444097415317,-45.61444025037335,1.5867339478911358e-08,True,12.7022665720433
103,,-20.921838852206122,-20.921837245418676,7.679953265853837e-08,True,12.154458340257406
104,,-28.854954017035368,-28.854952687666543,4.6070731009086407e-08,True,12.426767921075225
105,,-33.56614398348885,-33.56614282052327,3.46469818572465e-08,True,11.994704619050026
106,,-42.31694975278602,-42.31694890684624,1.999056608260217e-08,True,12.300964770838618
107,,-32.46509822359731,-32.46509702221684,3.700529295759164e-08,True,12.514685664325953
108,,-31.466091474975457,-31.466090237962234,3.931257949546209e-08,True,12.80356958694756
109,,-43.104337979348735,-43.104337161889156,1.8964670783958155e-08,True,12.128660384565592
110,,-44.67772570067041,-44.677724942500994,1.696974054929268e-08,True,11.463408639654517
111,,-32.85196670594982,-32.851965518844075,3.6134997818699544e-08,True,12.269209617748857
112,,-28.997169674404688,-28.997168350473068,4.5657270526735693e-08,True,12.395092280581594
113,,-48.45001635054615,-48.450015734864294,1.270756755303345e-08,True,12.659313548356295
114,,-42.57230643949896,-42.57230560238312,1.9663389455396246e-08,True,11.434850806370378
115,,-31.71676027695324,-31.716759048762373,3.872371759896702e-08,True,12.509411215782166
116,,-11.794067604045793,-11.794065685612878,1.626608375630435e-07,True,12.518662655726075
117,,-40.633675860153375,-40.633674952148354,2.2346120583102727e-08,True,12.527733003720641
118,,-47.77378482151165,-47.773784180145014,1.3425074757805289e-08,True,12.43659515492618
119,,-20.89407243659914,-20.8940708293483,7.692377070994567e-08,True,12.664310831576586
120,,16.102541835834884,16.102544692676382,-1.7741556126447635e-07,True,12.381580471992493
121,,-7.023433773037787,-7.023431693159829,2.961340600567561e-07,True,12.65542846918106
122,,-42.67491797112244,-42.67491713855466,1.9509534355482395e-08,True,12.640287015587091
123,,-39.234490916163026,-39.234489957320434,2.4438767235497473e-08,True,12.479609636589885
124,,-27.059114790797068,-27.059113397663538,5.1484815415614706e-08,True,12.472768729552627
125,,-34.83149401002946,-34.83149289269708,3.207822153601448e-08,True,12.508395629003644
126,,-39.957801972988264,-39.957801039914536,2.3351477869949035e-08,True,12.553544957190752
127,,-39.049176290192484,-39.04917532479594,2.4722584101470814e-08,True,12.289215562865138
128,,-36.47098761865384,-36.47098656029506,2.9019197058333352e-08,True,12.133373947814107
129,,-22.552238371505005,-22.552236821726005,6.871952019631636e-08,True,11.156866708770394
130,,-38.11189386366662,-38.11189286509024,2.6201174521625133e-08,True,12.167978037148714
131,,-36.95209599857534,-36.95209495692812,2.818912400861357e-08,True,12.257651353254914
132,,-33.88658311313077,-33.88658196262538,3.395164943811416e-08,True,12.28968646377325
133,,-27.571515918100786,-27.57151454392132,4.984054810086679e-08,True,12.301843822002411
134,,-41.670321410426666,-41.670320540622306,2.087347374948119e-08,True,12.373312178999186
135,,-41.88215872682417,-41.88215786434456,2.0593007517464627e-08,True,12.428554011508822
136,,-32.55012890640555,-32.550127708094195,3.681433507725827e-08,True,12.474153930321336
137,,-35.735724506665605,-35.73572342145492,3.0367669858760576e-08,True,12.442072674632072
138,,-42.833630978129904,-42.833630151836715,1.9290757511550218e-08,True,12.316666159778833
139,,-45.775477630840975,-45.775476914085225,1.5658072552374325e-08,True,12.466090884059668
140,,-23.81246281783148,-23.812461312367333,6.32216902353848e-08,True,12.213132243603468
141,,-34.86597552951193,-34.86597441320749,3.2017014357260087e-08,True,12.257539384067059
142,,-40.96416525409437,-40.96416435837175,2.1866004490800294e-08,True,12.641029512509704
143,,-42.00954175541728,-42.009540898050176,2.0408865926294185e-08,True,12.420803437009454
144,,-30.154438868333276,-30.154437585098464,4.255542005724282e-08,True,12.409145856276155
145,,-19.660315684136258,-19.660314033633927,8.395095769980212e-08,True,12.270225120708346
146,,-39.21069135984746,-39.2106903996932,2.4487052556339422e-08,True,12.510564260184765
147,,-43.19614741618356,-43.19614660262506,1.883405215802404e-08,True,12.571551252156496
148,,-35.515804380945625,-35.51580328901756,3.0744849558333106e-08,True,12.381771875545382
149,,-29.648106772431717,-29.648105470267204,4.3920663234961786e-08,True,12.41894500888884
150,,-36.010357722495286,-36.010356647937854,2.984023207324033e-08,True,12.732782939448953
151,,-47.68757045215461,-47.68756980688356,1.3531220917652977e-08,True,12.55946509540081
152,,-26.59303752212486,-26.593036113829,5.295731476422155e-08,True,12.422345634549856
153,,-37.328408223314554,-37.328407195814464,2.7525955143810455e-08,True,12.894060848280787
154,,-36.918391947768114,-36.91839090517407,2.824050528999741e-08,True,12.520855620503426
155,,-46.02845506641424,-46.028454358197095,1.5386506946082133e-08,True,12.58975087851286
156,,-38.625692207989225,-38.625691227053885,2.5395929082250633e-08,True,12.441159226000309
