,ID,Expected,Predicted (enc),% Error,Correct?,Time enc (s)
0,,-1.3047302002820604,-1.3047299607512457,1.8358647227350467e-07,True,8.342986216768622
1,,-2.081440862971772,-2.081440646426657,1.0403616025073076e-07,True,8.289004921913147
2,,-1.6620236635766528,-1.662023434341732,1.3792518472929745e-07,True,8.245571193750948
3,,-2.4356071628951073,-2.435606956576399,8.47093535785341e-08,True,8.40829483838752
4,,-1.2003629743107975,-1.200362731587603,2.0220816505255606e-07,True,8.296465208288282
5,,-2.048027426114815,-2.0480272085250126,1.0624359781592251e-07,True,8.34703254327178
6,,-1.2922202708609145,-1.2922200311972398,1.854665803408915e-07,True,8.446084116119891
7,,-1.7436781818410303,-1.7436779552201167,1.2996716707844977e-07,True,8.283972606994212
8,,-1.5827202415620736,-1.582720010446443,1.4602430964380798e-07,True,8.239501163363457
9,,-1.5586261106227326,-1.558625878205163,1.491169486064721e-07,True,8.14200340071693
10,,-2.014942111128831,-2.0149418928254637,1.0834225270161414e-07,True,8.113844426814467
11,,-1.9669400145645186,-1.9669397943425198,1.1196172594400022e-07,True,8.21113634109497
12,,-1.6911389878440115,-1.6911387597560807,1.3487237442001725e-07,True,8.101729388348758
13,,-2.1069880180600666,-2.106987802513108,1.0230098921140398e-07,True,8.415451550856233
14,,-1.5977744655174106,-1.5977742350563773,1.4423877608625477e-07,True,7.931669952813536
15,,-1.039296572297756,-1.0392963255397945,2.374278605325194e-07,True,8.117315297015011
16,,-1.66028442128027,-1.6602841931276604,1.3741778623552586e-07,True,7.679847000632435
17,,-1.5677501582775673,-1.5677499268491086,1.4761820140613671e-07,True,7.802901505026966
18,,-2.156340027984121,-2.156339813895425,9.928336594694705e-08,True,8.196177916135639
19,,-1.3851632978356445,-1.3851630611453851,1.7087534716074757e-07,True,8.271598646882921
20,,-1.457487712347783,-1.4574874776605737,1.610217412013537e-07,True,8.169574536848813
21,,-1.8357031677541409,-1.8357029444393165,1.2165083567589629e-07,True,8.286287553142756
22,,-1.8208350527264159,-1.8208348290268352,1.228554889154319e-07,True,7.954154947772622
23,,-1.3695693203711095,-1.369569082968984,1.7334071520327924e-07,True,8.18396435212344
24,,-1.6974055525917517,-1.6974053252372032,1.3394238529137506e-07,True,8.24692380335182
25,,-1.1469601895241084,-1.1469599461289137,2.1220893008208115e-07,True,8.02374259987846
26,,-1.911416070452062,-1.9114158495595492,1.1556485065722494e-07,True,8.284728317055851
27,,-2.1696913490907175,-2.1696911349243924,9.87081988451855e-08,True,8.265442437957972
28,,-1.7387866590877366,-1.7387864326329652,1.302372376712917e-07,True,7.963464637752622
29,,-1.5648276408279767,-1.56482740917109,1.4803987386097967e-07,True,8.271048665046692
30,,-1.947187695307087,-1.9471874753112322,1.1298132963594152e-07,True,7.961578838061541
31,,-1.4462867477288075,-1.4462865129443836,1.6233601273832034e-07,True,8.115752259735018
32,,-2.3817093419395157,-2.381709134504889,8.709485374899339e-08,True,8.070964972954243
33,,-1.5185977894054066,-1.5185975565927352,1.5330765854380885e-07,True,8.176076245959848
34,,-1.7165279690703894,-1.7165277417435894,1.324340786441643e-07,True,7.86310372594744
35,,-2.006922176190261,-2.0069219575992316,1.0891853798352049e-07,True,7.986559705808759
36,,-2.0519888546455594,-2.051988637494808,1.0582452758782919e-07,True,8.031910070218146
37,,-1.2835852042101568,-1.283584964454219,1.8678614943785222e-07,True,8.244343533646315
38,,-2.131187309791402,-2.131187094624652,1.0096097569945638e-07,True,8.134350802749395
39,,-1.9597271409608776,-1.9597269212156099,1.1213054264900114e-07,True,8.382345641031861
40,,-1.825534081266711,-1.825533857322641,1.2267317945625463e-07,True,7.908111090306193
41,,-1.6140698127040167,-1.6140695826722125,1.425166386613871e-07,True,8.068334700074047
42,,-1.6689978904198401,-1.6689976619492368,1.3689088802120682e-07,True,8.195590058341622
43,,-1.9385798574770323,-1.9385796366721606,1.1390032289276709e-07,True,8.23777063144371
44,,-2.3054411651669016,-2.305440955572104,9.09130975383775e-08,True,8.14503495907411
