,ID,Expected,Predicted (enc),% Error,Correct?,Time enc (s)
0,,-1.3515185789750834,-1.3515183413976484,1.757855487554019e-07,True,7.623850373085588
1,,-1.4743376905849566,-1.4743374562547036,1.589393355917686e-07,True,7.638555201236159
2,,-1.7162878451668746,-1.7162876182761888,1.321985041343082e-07,True,7.886520116124302
3,,-1.6766620172938662,-1.6766617888341333,1.3625866784896112e-07,True,7.795701931230724
4,,-1.6954543182124215,-1.6954540903583029,1.343911872094635e-07,True,8.087381205055863
5,,-1.8228238137067398,-1.8228235895703122,1.2296110351131034e-07,True,7.877879859879613
6,,-1.5466878636940198,-1.5466876315125067,1.5011530029868623e-07,True,7.744195222854614
7,,-1.4503241761629972,-1.4503239414951326,1.6180373226396738e-07,True,7.851389224175364
8,,-1.9512841300118033,-1.9512839097796473,1.128652422679397e-07,True,7.707420822232962
9,,-1.7988467658839289,-1.7988465411003407,1.2495983118217063e-07,True,8.142114194110036
10,,-1.7025039163834332,-1.7025036885967193,1.3379511890898223e-07,True,7.7346916031092405
11,,-1.6346706730072302,-1.634670443412344,1.404532974166144e-07,True,8.0856369510293
12,,-2.024878770587602,-2.0248785526478628,1.0763100601877933e-07,True,8.028880749829113
13,,-1.9133050742003501,-1.9133048525163265,1.1586444136469981e-07,True,7.761172981932759
14,,-2.041837281245467,-2.0418370632158283,1.0678110385696627e-07,True,8.009726633317769
15,,-1.7418795882937959,-1.7418793621521593,1.2982621648917135e-07,True,8.25653853919357
16,,-2.002669132853348,-2.002668913495256,1.0953286695860742e-07,True,7.889438198879361
17,,-2.126247931602423,-2.126247716732045,1.010561255539179e-07,True,7.824057802092284
18,,-1.34994704543257,-1.3499468076053454,1.7617522508406804e-07,True,7.792458992917091
19,,-1.6758601075434694,-1.6758598789506687,1.3640327116772934e-07,True,8.042294046841562
20,,-1.8136346017051785,-1.8136343769834404,1.2390684314004232e-07,True,8.15653627179563
21,,-2.1239181254602313,-2.1239179101325663,1.0138228138393564e-07,True,8.181631938088685
22,,-1.7269397988713937,-1.7269395722940057,1.3120167136741487e-07,True,8.299627084750682
23,,-2.096386804032684,-2.096386587852741,1.0312025548905648e-07,True,8.207814179826528
24,,-2.3361431152002305,-2.336142905888551,8.959711337135244e-08,True,8.079803633037955
